Net:0.0535899750514, Trade:1.12304727032, Cost:1.06945729527, Trades/Day:17.5, et:2, leb:3, bs:2, ueb:8,
Net:0.10033572785, Trade:1.12311542979, Cost:1.02277970194, Trades/Day:15.6666666667, et:2, leb:3, bs:3, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:2, leb:3, bs:4, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:2, leb:3, bs:5, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:2, leb:3, bs:6, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:2, leb:3, bs:7, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:2, leb:3, bs:8, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:2, leb:3, bs:9, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:2, leb:3, bs:10, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:2, leb:3, bs:11, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:2, leb:3, bs:12, ueb:8,
Net:0.0935702206331, Trade:1.12712438835, Cost:1.03355416771, Trades/Day:16.1833333333, et:3, leb:3, bs:1, ueb:8,
Net:0.0980357823638, Trade:1.12073287914, Cost:1.02269709678, Trades/Day:15.6333333333, et:3, leb:3, bs:2, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:3, leb:3, bs:3, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:3, leb:3, bs:4, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:3, leb:3, bs:5, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:3, leb:3, bs:6, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:3, leb:3, bs:7, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:3, leb:3, bs:8, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:3, leb:3, bs:9, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:3, leb:3, bs:10, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:3, leb:3, bs:11, ueb:8,
Net:0.100329461069, Trade:1.12179937542, Cost:1.02146991435, Trades/Day:15.6, et:3, leb:3, bs:12, ueb:8,
Net:0.106351119877, Trade:1.33628213243, Cost:1.22993101256, Trades/Day:24.7666666667, et:0, leb:3, bs:4, ueb:9,
Net:0.197937791255, Trade:1.30911213448, Cost:1.11117434322, Trades/Day:19.55, et:0, leb:3, bs:5, ueb:9,
Net:0.173468871006, Trade:1.24478472615, Cost:1.07131585514, Trades/Day:17.4666666667, et:0, leb:3, bs:6, ueb:9,
Net:0.144892308051, Trade:1.19821268338, Cost:1.05332037533, Trades/Day:16.5833333333, et:0, leb:3, bs:7, ueb:9,
Net:0.133245448037, Trade:1.17504423938, Cost:1.04179879135, Trades/Day:16.05, et:0, leb:3, bs:8, ueb:9,
Net:0.113863600773, Trade:1.15339264822, Cost:1.03952904745, Trades/Day:15.9, et:0, leb:3, bs:9, ueb:9,
Net:0.112882621388, Trade:1.15241166863, Cost:1.03952904724, Trades/Day:15.9, et:0, leb:3, bs:10, ueb:9,
Net:0.0964667626129, Trade:1.13599578808, Cost:1.03952902547, Trades/Day:15.8833333333, et:0, leb:3, bs:11, ueb:9,
Net:0.0993662421946, Trade:1.13889526623, Cost:1.03952902404, Trades/Day:15.8666666667, et:0, leb:3, bs:12, ueb:9,
Net:0.00441440402086, Trade:1.3858709493, Cost:1.38145654528, Trades/Day:31.5666666667, et:1, leb:3, bs:2, ueb:9,
Net:0.114694209671, Trade:1.23869577137, Cost:1.1240015617, Trades/Day:19.8166666667, et:1, leb:3, bs:3, ueb:9,
