Net:-3.40110724196, Trade:2.05815916428, Cost:5.45926640624, Trades/Day:146.35, et:-2, leb:2, bs:3, ueb:5,
Net:-3.16673658316, Trade:2.08835454397, Cost:5.25509112713, Trades/Day:135.933333333, et:-2, leb:2, bs:4, ueb:5,
Net:-2.96347087343, Trade:2.091448265, Cost:5.05491913842, Trades/Day:126.883333333, et:-2, leb:2, bs:5, ueb:5,
Net:-2.84904061739, Trade:2.04784329681, Cost:4.8968839142, Trades/Day:119.366666667, et:-2, leb:2, bs:6, ueb:5,
Net:-2.67503190855, Trade:2.09624038391, Cost:4.77127229246, Trades/Day:113.466666667, et:-2, leb:2, bs:7, ueb:5,
Net:-2.54507215673, Trade:2.11689777747, Cost:4.66196993421, Trades/Day:108.633333333, et:-2, leb:2, bs:8, ueb:5,
Net:-2.42441138453, Trade:2.13895608717, Cost:4.5633674717, Trades/Day:104.05, et:-2, leb:2, bs:9, ueb:5,
Net:-2.30038489839, Trade:2.15749914718, Cost:4.45788404558, Trades/Day:99.65, et:-2, leb:2, bs:10, ueb:5,
Net:-2.21160117472, Trade:2.15825806949, Cost:4.36985924421, Trades/Day:96.1666666667, et:-2, leb:2, bs:11, ueb:5,
Net:-2.09185122538, Trade:2.20431051819, Cost:4.29616174357, Trades/Day:92.9666666667, et:-2, leb:2, bs:12, ueb:5,
Net:-4.42599467435, Trade:1.61349124056, Cost:6.03948591491, Trades/Day:173.483333333, et:-1, leb:2, bs:1, ueb:5,
Net:-3.48851653439, Trade:2.09566337156, Cost:5.58417990595, Trades/Day:151.666666667, et:-1, leb:2, bs:2, ueb:5,
Net:-3.02368945586, Trade:2.23158818548, Cost:5.25527764134, Trades/Day:136.35, et:-1, leb:2, bs:3, ueb:5,
Net:-2.82906501934, Trade:2.18212355304, Cost:5.01118857238, Trades/Day:124.35, et:-1, leb:2, bs:4, ueb:5,
Net:-2.6364628925, Trade:2.16584124279, Cost:4.80230413529, Trades/Day:114.883333333, et:-1, leb:2, bs:5, ueb:5,
Net:-2.40535366232, Trade:2.19892819746, Cost:4.60428185979, Trades/Day:106.35, et:-1, leb:2, bs:6, ueb:5,
Net:-2.27198412325, Trade:2.20586832532, Cost:4.47785244856, Trades/Day:100.133333333, et:-1, leb:2, bs:7, ueb:5,
Net:-2.11494453141, Trade:2.23973570044, Cost:4.35468023185, Trades/Day:94.8166666667, et:-1, leb:2, bs:8, ueb:5,
Net:-2.02033256022, Trade:2.21905317169, Cost:4.23938573191, Trades/Day:89.5, et:-1, leb:2, bs:9, ueb:5,
Net:-1.94973392828, Trade:2.21662356045, Cost:4.16635748873, Trades/Day:86.25, et:-1, leb:2, bs:10, ueb:5,
Net:-1.85153917866, Trade:2.21999752521, Cost:4.07153670387, Trades/Day:82.2833333333, et:-1, leb:2, bs:11, ueb:5,
Net:-1.74659634311, Trade:2.24660890559, Cost:3.99320524871, Trades/Day:79.15, et:-1, leb:2, bs:12, ueb:5,
Net:-3.4550810785, Trade:2.14465905198, Cost:5.59974013048, Trades/Day:152.95, et:0, leb:2, bs:1, ueb:5,
Net:-2.06566487178, Trade:2.58341449453, Cost:4.64907936631, Trades/Day:109.083333333, et:0, leb:2, bs:2, ueb:5,
Net:-1.50595439878, Trade:2.44479342681, Cost:3.95074782558, Trades/Day:77.75, et:0, leb:2, bs:3, ueb:5,
Net:-1.21675660984, Trade:2.37526744748, Cost:3.59202405733, Trades/Day:61.15, et:0, leb:2, bs:4, ueb:5,
Net:-1.14745218449, Trade:2.30678523169, Cost:3.45423741618, Trades/Day:54.4333333333, et:0, leb:2, bs:5, ueb:5,
Net:-1.16452237769, Trade:2.25521170586, Cost:3.41973408355, Trades/Day:52.5666666667, et:0, leb:2, bs:6, ueb:5,
Net:-1.14138955047, Trade:2.26089494484, Cost:3.40228449531, Trades/Day:51.7333333333, et:0, leb:2, bs:7, ueb:5,
Net:-1.12829575861, Trade:2.26858931921, Cost:3.39688507781, Trades/Day:51.5, et:0, leb:2, bs:8, ueb:5,
Net:-1.12159984634, Trade:2.27447088483, Cost:3.39607073117, Trades/Day:51.45, et:0, leb:2, bs:9, ueb:5,
Net:-1.12159984634, Trade:2.27447088483, Cost:3.39607073117, Trades/Day:51.45, et:0, leb:2, bs:10, ueb:5,
Net:-1.12159984634, Trade:2.27447088483, Cost:3.39607073117, Trades/Day:51.45, et:0, leb:2, bs:11, ueb:5,
Net:-1.12082455389, Trade:2.27435570533, Cost:3.39518025922, Trades/Day:51.4166666667, et:0, leb:2, bs:12, ueb:5,
Net:-2.56024627514, Trade:2.50445748975, Cost:5.06470376489, Trades/Day:127.816666667, et:1, leb:2, bs:1, ueb:5,
Net:-1.19467052438, Trade:2.5314852511, Cost:3.72615577548, Trades/Day:67.0666666667, et:1, leb:2, bs:2, ueb:5,
Net:-1.10178299659, Trade:2.33820120449, Cost:3.43998420108, Trades/Day:53.5166666667, et:1, leb:2, bs:3, ueb:5,
Net:-1.10266836404, Trade:2.29434827925, Cost:3.39701664329, Trades/Day:51.6, et:1, leb:2, bs:4, ueb:5,
Net:-1.11954057579, Trade:2.27563968443, Cost:3.39518026023, Trades/Day:51.45, et:1, leb:2, bs:5, ueb:5,
Net:-1.12082455389, Trade:2.27435570533, Cost:3.39518025922, Trades/Day:51.4166666667, et:1, leb:2, bs:6, ueb:5,
Net:-1.12082455389, Trade:2.27435570533, Cost:3.39518025922, Trades/Day:51.4166666667, et:1, leb:2, bs:7, ueb:5,
Net:-1.12082455389, Trade:2.27435570533, Cost:3.39518025922, Trades/Day:51.4166666667, et:1, leb:2, bs:8, ueb:5,
Net:-1.12082455389, Trade:2.27435570533, Cost:3.39518025922, Trades/Day:51.4166666667, et:1, leb:2, bs:9, ueb:5,
Net:-1.12082455389, Trade:2.27435570533, Cost:3.39518025922, Trades/Day:51.4166666667, et:1, leb:2, bs:10, ueb:5,
Net:-1.12082455389, Trade:2.27435570533, Cost:3.39518025922, Trades/Day:51.4166666667, et:1, leb:2, bs:11, ueb:5,
Net:-1.12082455389, Trade:2.27435570533, Cost:3.39518025922, Trades/Day:51.4166666667, et:1, leb:2, bs:12, ueb:5,
Net:-1.12322740845, Trade:2.32529721566, Cost:3.44852462412, Trades/Day:54.1833333333, et:2, leb:2, bs:1, ueb:5,
Net:-1.12187656699, Trade:2.27453162829, Cost:3.39640819528, Trades/Day:51.4666666667, et:2, leb:2, bs:2, ueb:5,
Net:-1.12082455389, Trade:2.27435570533, Cost:3.39518025922, Trades/Day:51.4166666667, et:2, leb:2, bs:3, ueb:5,
Net:-1.12082455389, Trade:2.27435570533, Cost:3.39518025922, Trades/Day:51.4166666667, et:2, leb:2, bs:4, ueb:5,
Net:-1.12082455389, Trade:2.27435570533, Cost:3.39518025922, Trades/Day:51.4166666667, et:2, leb:2, bs:5, ueb:5,
Net:-1.12082455389, Trade:2.27435570533, Cost:3.39518025922, Trades/Day:51.4166666667, et:2, leb:2, bs:6, ueb:5,
Net:-1.12082455389, Trade:2.27435570533, Cost:3.39518025922, Trades/Day:51.4166666667, et:2, leb:2, bs:7, ueb:5,
Net:-1.12082455389, Trade:2.27435570533, Cost:3.39518025922, Trades/Day:51.4166666667, et:2, leb:2, bs:8, ueb:5,
Net:-1.12082455389, Trade:2.27435570533, Cost:3.39518025922, Trades/Day:51.4166666667, et:2, leb:2, bs:9, ueb:5,
Net:-1.12082455389, Trade:2.27435570533, Cost:3.39518025922, Trades/Day:51.4166666667, et:2, leb:2, bs:10, ueb:5,
Net:-1.12082455389, Trade:2.27435570533, Cost:3.39518025922, Trades/Day:51.4166666667, et:2, leb:2, bs:11, ueb:5,
Net:-1.12082455389, Trade:2.27435570533, Cost:3.39518025922, Trades/Day:51.4166666667, et:2, leb:2, bs:12, ueb:5,
Net:-4.79870296246, Trade:1.42952701199, Cost:6.22822997445, Trades/Day:179.916666667, et:-2, leb:2, bs:1, ueb:6,
Net:-3.88735177515, Trade:1.93218687746, Cost:5.81953865261, Trades/Day:160.633333333, et:-2, leb:2, bs:2, ueb:6,
Net:-3.4416381745, Trade:2.10138883218, Cost:5.54302700668, Trades/Day:148.016666667, et:-2, leb:2, bs:3, ueb:6,
Net:-3.19591261202, Trade:2.13515224994, Cost:5.33106486196, Trades/Day:137.35, et:-2, leb:2, bs:4, ueb:6,
Net:-2.98415729894, Trade:2.14358143972, Cost:5.12773873866, Trades/Day:128.2, et:-2, leb:2, bs:5, ueb:6,
Net:-2.86230529542, Trade:2.10195518242, Cost:4.96426047784, Trades/Day:120.416666667, et:-2, leb:2, bs:6, ueb:6,
Net:-2.6879423837, Trade:2.15033378436, Cost:4.83827616806, Trades/Day:114.516666667, et:-2, leb:2, bs:7, ueb:6,
Net:-2.54862793473, Trade:2.17645542231, Cost:4.72508335704, Trades/Day:109.583333333, et:-2, leb:2, bs:8, ueb:6,
Net:-2.42875292519, Trade:2.20001759912, Cost:4.62877052431, Trades/Day:105.05, et:-2, leb:2, bs:9, ueb:6,
Net:-2.30735471536, Trade:2.21685491777, Cost:4.52420963313, Trades/Day:100.683333333, et:-2, leb:2, bs:10, ueb:6,
Net:-2.22300074745, Trade:2.21294434223, Cost:4.43594508968, Trades/Day:97.1666666667, et:-2, leb:2, bs:11, ueb:6,
Net:-2.09857209956, Trade:2.26208668594, Cost:4.3606587855, Trades/Day:93.9, et:-2, leb:2, bs:12, ueb:6,
Net:-4.48558024054, Trade:1.64951810151, Cost:6.13509834205, Trades/Day:175.816666667, et:-1, leb:2, bs:1, ueb:6,
