Net:0.175327426538, Trade:5.30843063817, Cost:5.13310321163, Trades/Day:99.7226890756, et:-2, leb:2, bs:10, ueb:5,
Net:0.324207958914, Trade:5.36025745354, Cost:5.03604949462, Trades/Day:96.1176470588, et:-2, leb:2, bs:11, ueb:5,
Net:0.451685161799, Trade:5.40022859636, Cost:4.94854343456, Trades/Day:92.8571428571, et:-2, leb:2, bs:12, ueb:5,
Net:0.176772224653, Trade:5.47173728655, Cost:5.2949650619, Trades/Day:105.537815126, et:-1, leb:2, bs:6, ueb:5,
Net:0.474590266358, Trade:5.57706968828, Cost:5.10247942192, Trades/Day:98.6218487395, et:-1, leb:2, bs:7, ueb:5,
Net:0.650399436066, Trade:5.6013935706, Cost:4.95099413453, Trades/Day:92.8067226891, et:-1, leb:2, bs:8, ueb:5,
Net:0.819580537901, Trade:5.64019668468, Cost:4.82061614678, Trades/Day:87.9411764706, et:-1, leb:2, bs:9, ueb:5,
Net:0.89698992507, Trade:5.61002866913, Cost:4.71303874406, Trades/Day:83.8151260504, et:-1, leb:2, bs:10, ueb:5,
Net:1.04916020824, Trade:5.66981608115, Cost:4.62065587291, Trades/Day:80.1932773109, et:-1, leb:2, bs:11, ueb:5,
Net:1.11740150651, Trade:5.66765489641, Cost:4.5502533899, Trades/Day:77.3529411765, et:-1, leb:2, bs:12, ueb:5,
Net:0.540149423708, Trade:5.98831599092, Cost:5.44816656721, Trades/Day:112.537815126, et:0, leb:2, bs:2, ueb:5,
Net:1.50550985319, Trade:6.10830606763, Cost:4.60279621445, Trades/Day:80.7731092437, et:0, leb:2, bs:3, ueb:5,
Net:1.7799845889, Trade:5.9124807727, Cost:4.1324961838, Trades/Day:62.0588235294, et:0, leb:2, bs:4, ueb:5,
Net:1.8088472064, Trade:5.71664115727, Cost:3.90779395087, Trades/Day:53.4621848739, et:0, leb:2, bs:5, ueb:5,
Net:1.80398999765, Trade:5.63221622207, Cost:3.82822622442, Trades/Day:50.2268907563, et:0, leb:2, bs:6, ueb:5,
Net:1.78145040512, Trade:5.59183884203, Cost:3.81038843691, Trades/Day:49.3529411765, et:0, leb:2, bs:7, ueb:5,
Net:1.78587678939, Trade:5.58195204588, Cost:3.79607525649, Trades/Day:48.8319327731, et:0, leb:2, bs:8, ueb:5,
Net:1.78044847637, Trade:5.57417872993, Cost:3.79373025357, Trades/Day:48.6890756303, et:0, leb:2, bs:9, ueb:5,
Net:1.78334439209, Trade:5.57651738481, Cost:3.79317299272, Trades/Day:48.6638655462, et:0, leb:2, bs:10, ueb:5,
Net:1.78229357062, Trade:5.57546656318, Cost:3.79317299257, Trades/Day:48.6554621849, et:0, leb:2, bs:11, ueb:5,
Net:1.78229357062, Trade:5.57546656318, Cost:3.79317299257, Trades/Day:48.6554621849, et:0, leb:2, bs:12, ueb:5,
Net:1.81150167771, Trade:6.03992229537, Cost:4.22842061766, Trades/Day:65.731092437, et:1, leb:2, bs:2, ueb:5,
Net:1.80248018062, Trade:5.64632979864, Cost:3.84384961802, Trades/Day:50.6974789916, et:1, leb:2, bs:3, ueb:5,
Net:1.77569259069, Trade:5.57756045698, Cost:3.80186786629, Trades/Day:48.9327731092, et:1, leb:2, bs:4, ueb:5,
